UNIVERSITY PHYSICS I LAB,PHYS-2125,TEXAS REPUBLIC COLLEGE
ELEMENTARY STATISTICAL METHODS,MATH-1342,TEXAS REPUBLIC COLLEGE
COMPUTER ORGANIZATION,COSC-2325,BEXAR COMMUNITY COLLEGE
PROGRAMMING FUNDAMENTALS I,COSC-1336,TEXAS REPUBLIC COLLEGE
UNIVERSITY PHYSICS I,PHYS-2325,TEXAS REPUBLIC COLLEGE
INTRODUCTION TO COMPUTER PROGRAMMING,COSC-1315,BEXAR COMMUNITY COLLEGE
C PROGRAMMING,COSC-1320,TEXAS VIRTUAL COLLEGE
CALCULUS I,MATH-2313,TEXAS VIRTUAL COLLEGE
PROGRAMMING FUNDAMENTALS II,COSC-1337,TEXAS REPUBLIC COLLEGE
INTRODUCTION TO COMPUTER PROGRAMMING,COSC-1315,TEXAS REPUBLIC COLLEGE
PROGRAMMING FUNDAMENTALS I,COSC-1336,TEXAS VIRTUAL COLLEGE
PROGRAMMING FUNDAMENTALS III,COSC-2336,TEXAS VIRTUAL COLLEGE
