subject	section	front	back
Mathematics	Algebra 1	Evaluate: $1 + 11^2 \div (2 + 9) + 1 \times 9$	21
Mathematics	Pre-Calc	Let $A = \{a, c, u, t, e\}$, $O = \{o, b, t, u, s, e\}$, and $R = \{r, i, g, h, t\}$. Find the number of elements in $(A \cup R) \cap O$.	3 ($A \cup R = \{a,c,u,t,e,r,i,g,h\}$; elements also in $O$: $t, u, e$)
Mathematics	Algebra 1	The number $111A09201B$ is divided by 9 with a remainder of 5. Find the least possible value of $A + B$.	8
Mathematics	Algebra 1	Mae B. Tulong had 12 yards of rope. She cut off a piece 2 yards 1 foot 8 inches long, then divided the remaining rope into four equal parts. How long was each part?	2 yards 1 foot 1 inch
Mathematics	Algebra 1	Let $4x^2 + 17x - 15 = (ax + b)(cx + d)$. Find $a + b + c + d$.	7 (factors as $(4x - 3)(x + 5)$, so $4 + (-3) + 1 + 5 = 7$)
Mathematics	Algebra 2	Let $(2x-1)^2(2x+1) = ax^3 + bx^2 + cx + d$. Find $a + b + c + d$.	3 (substitute $x = 1$: $(1)^2(3) = 3 = a+b+c+d$)
Mathematics	Algebra 2	Simplify: $\left(\dfrac{x^2-3x-10}{x^2+2x-35}\right) \div \left(\dfrac{x^2+9x+14}{x^2+4x-21}\right)$	$\dfrac{x-3}{x+7}$
Mathematics	Geometry	A polyhedron has 7 faces and 11 edges. How many vertices does it have? (Hint: Euler's formula $V - E + F = 2$)	6
Mathematics	Geometry	Two lines are ________ if and only if the product of their slopes equals $-1$.	Perpendicular
Mathematics	Geometry	A right cylinder has a diameter of 4 inches and a height of 5 inches. What is the total surface area? (nearest tenth)	$88.0 \text{ in}^2$ ($= 28\pi \text{ in}^2$)
Mathematics	Algebra 2	If $\dfrac{3x+2}{x-1} - \dfrac{x-3}{2x+1} = \dfrac{ax^2+bx+c}{dx^2+ex+f}$, find $a + b + c + d + e + f$.	15 (numerator: $5x^2+11x-1$; denominator: $2x^2-x-1$; sum of all coefficients: $5+11-1+2-1-1=15$)
Mathematics	Algebra 2	Given $a_1 = 1$, $a_2 = 3$, $a_3 = -5$, and $a_n = a_{n-1} + a_{n-3} - a_{n-2}$ for $n \geq 4$, find $a_6$.	3 ($a_4=-7,\ a_5=1,\ a_6=1+(-5)-(-7)=3$)
Mathematics	Algebra 2	Let $x - 3y = 5$, $2y + z = 3$, and $2 - z = x$. Find $x + yz$.	$-103$ ($x=-13,\ y=-6,\ z=15$)
Mathematics	Algebra 1	Which mathematician is noted for his work with sets, probability, and logic?	John Venn
Mathematics	Statistics	Thirty seniors took a state math test — 22 boys and 8 girls — each with an equal chance at one of the top 3 medals. What is the probability that exactly two girls and one boy won medals? (nearest whole percent)	15% $\left(\dfrac{\binom{8}{2}\binom{22}{1}}{\binom{30}{3}} = \dfrac{616}{4060} \approx 15\%\right)$
Mathematics	Pre-Calc	The expression $(1 - \cos\theta)(1 + \cos\theta)(1 + \cot^2\theta)$ is equivalent to which of the following? (A) $\csc^2\theta$ (B) $\frac{1}{\sec\theta}$ (C) $1$ (D) $\frac{1}{\csc\theta}$ (E) $\sin^2\theta + 1$	C) 1 ($\sin^2\theta \cdot \csc^2\theta = 1$)
Mathematics	Pre-Calc	$e^{3i} = \cos(3) + i\sin(3)$ is an example of whose formula?	Euler's formula
Mathematics	Algebra 2	If $f(x) = x^2 - 3x + 2$ and $g(x) = 2x^2 - x + 3$, find $g(f(4))$.	69 ($f(4)=6$; $g(6)=72-6+3=69$)
Mathematics	Algebra 2	$(8x^3 - 4x^2 - 2x + 1) \div (2x + 1)$ has a remainder of _____.	0 (divides evenly; by remainder theorem: substitute $x = -\tfrac{1}{2}$, result $= 0$)
Mathematics	Pre-Calc	In the expansion of $(3x + 2y)^5$, find the absolute value of the difference between the coefficients of the $x^2y^3$ term and the $x^3y^2$ term.	360 ($\binom{5}{2}3^2 2^3 = 720$ and $\binom{5}{3}3^3 2^2 = 1080$; $|720-1080|=360$)
